date,fed_band,rate,shift,action
2001-09-17,3.00%,0.025,-0.0049999999999999975,cut
2001-08-21,3.50%,0.03,-0.0025000000000000022,cut
2001-06-27,3.75%,0.0325,-0.0025000000000000022,cut
2001-05-15,4.00%,0.035,-0.0049999999999999975,cut
2001-04-18,4.50%,0.04,-0.0049999999999999975,cut
2001-03-20,5.00%,0.045,-0.0050000000000000044,cut
2001-01-31,5.50%,0.05,-0.0075,cut
2001-01-03,6.00%,0.0575,-0.0024999999999999953,cut
2000-12-19,6.50%,0.06,0.0,hold
2000-11-15,6.50%,0.06,0.0,hold
2000-10-03,6.50%,0.06,0.0,hold
2000-08-22,6.50%,0.06,0.0,hold
2000-06-28,6.50%,0.06,0.0,hold
2000-05-16,6.50%,0.06,0.0049999999999999975,hike
2000-03-21,6.00%,0.055,0.0025000000000000022,hike
